disease_accession:ID(Disease),disease_id,disease_acronym,disease_description,disease_xref_db,disease_xref_id,association_source,:LABEL
SYN:the-jolting-mutant-medjo-a-mild-form-of-motor-endplate-disease-which-is-characte,"the jolting mutant (medjo), a mild form of motor endplate disease which is characterized by the absence of spontaneous, regular, simple discharges from Purkinje cells",,"Defects in Scn8a are the cause of the jolting mutant (medjo), a mild form of motor endplate disease which is characterized by the absence of spontaneous, regular, simple discharges from Purkinje cells. After 3 weeks of age, jolting mice are unsteady and have wide-based gait and a rhythmical tremor of head and neck induced by attempted movement",,,UniProt,Disease
SYN:degenerating-muscle-dmu,degenerating muscle (dmu),,Defects in Scn8a are a cause of degenerating muscle (dmu). Dmu is an autosomal recessive neuromuscular disorder that is characterized by skeletal and cardiac muscle degeneration. It produces early onset progressive loss of mobility of the hind limbs and subsequent lethality in the first month of life,,,UniProt,Disease
SYN:pro-re-mice-that-have-a-premature-termination-on-prodh-are-sluggish-in-their-mov,Pro/re mice that have a premature termination on Prodh are sluggish in their movement,,Pro/re mice that have a premature termination on Prodh are sluggish in their movement,,,UniProt,Disease
SYN:deafness-due-to-the-progressive-degeneration-of-outer-and-inner-hair-cells-in-th,"deafness due to the progressive degeneration of outer and inner hair cells in the cochlea and of neurons in the cochlear ganglion, leading to the loss of the organ of Corti",,"Defects in Slc12a7 are a cause of deafness due to the progressive degeneration of outer and inner hair cells in the cochlea and of neurons in the cochlear ganglion, leading to the loss of the organ of Corti",,,UniProt,Disease
SYN:the-juvenile-visceral-steatosis-jvs-phenotype,the juvenile visceral steatosis (JVS) phenotype,,Defects in Slc22a5 are the cause of the juvenile visceral steatosis (JVS) phenotype. JVS is an autosomal recessive animal model of systemic carnitine deficiency,,,UniProt,Disease
SYN:in-mdx-mice-mouse-model-of-dystrophinopathy-the-dystrophin-complex-is-disrupted-,In MDX mice (mouse model of dystrophinopathy) the dystrophin complex is disrupted and nNOS is displaced from sarcolemma and accumulates in the cytosol,,In MDX mice (mouse model of dystrophinopathy) the dystrophin complex is disrupted and nNOS is displaced from sarcolemma and accumulates in the cytosol,,,UniProt,Disease
SYN:the-sex-linked-anemia-sla-that-is-characterized-by-moderate-to-severe-microcytic,the sex-linked anemia (sla) that is characterized by moderate to severe microcytic hypochronic anemia with iron accumulation in the intestinal epithelium,,Defects in Heph are a cause of the sex-linked anemia (sla) that is characterized by moderate to severe microcytic hypochronic anemia with iron accumulation in the intestinal epithelium,,,UniProt,Disease
SYN:myodystrophy-myd-an-autosomal-recessive-neuromuscular-phenotype-probably-due-to-,"myodystrophy (myd), an autosomal recessive neuromuscular phenotype, probably due to abnormal post-translational modification of alpha-dystroglycan",,"Defects in Large are the cause of myodystrophy (myd), an autosomal recessive neuromuscular phenotype, probably due to abnormal post-translational modification of alpha-dystroglycan",,,UniProt,Disease
SYN:the-development-of-lung-and-intestinal-adenocarcinomas-after-exposure-to-a-carci,the development of lung and intestinal adenocarcinomas after exposure to a carcinogen,,Defects in Bub1b are involved in the development of lung and intestinal adenocarcinomas after exposure to a carcinogen,,,UniProt,Disease
SYN:the-autosomal-recessive-phenotype-pearl-pe,the autosomal recessive phenotype 'pearl' (pe),,"Defects in Ap3b1 are the cause of the autosomal recessive phenotype 'pearl' (pe). Pearl mice exhibit hypopigmentation, lysosomal secretion abnormalities, and platelet-dense granules with reduced levels of adenine nucleotides and serotonin. The changes in platelets lead to prolonged bleeding. Additionally, pearl mice exhibit reduced sensitivity in the dark-adapted state (PubMed:9931340)",,,UniProt,Disease
SYN:decreased-levels-in-serotonin-and-dense-granules,decreased levels in serotonin and dense granules,,Defects in Pld1 may result in coa which is associated with coat color dilution and white spotting. It is also associated with platelet-storage pool deficiency characterized by decreased levels in serotonin and dense granules,,,UniProt,Disease
